"Project 
Name",Company,"Plant 
Name","Storage and/or 
Capture","Overall 
Status","Plant 
Status","Project 
Phase","Country
Location","State 
Location","Specific 
Site Location","Plant Size or 
Capture Amount","Power or 
Capture Unit","Combustion/
Separation","Capture 
Technology","Amount of CO2 
Captured/Stored","Captured/Stored 
Unit","Project 
Summary","Project 
Start Date","Project 
Cost",Currency,"Project Information 
Webpage"
Aalborg - Northern Jutland Power Station Project,Vattenfall,Northern Jutland Power Station,Capture and Storage,Hold,Existing,Plant in Operation,Denmark,,Aalborg,411,Megawatt,Post-Combustion,Amines,4931.99983611703,Metric Tons Per Day,Vattenfall is planning to have a full-scale CCS demonstration project in operation in Aalborg in Northern Denmark by 2013. A series of geological surveys has been undertaken to identify suitable storage in the plant's vicinity. The project is on hold.,12/31/2013,2000000000,Danish Krone,http://www.zeroco2.no/projects/nordjylland-power-station
AES Shady Point,AES Corporation,Shady Point Power Plant,Capture,Terminated,Existing,Plant in Operation,United States,Oklahoma,"Panama, Oklahoma",320,Megawatt,Post-Combustion,Ethanol-Amino Solvent,200,Metric Tons Per Day,The CO2 is scrubbed from the flue gas stream via an ABB Lummus scrubber system that uses monoethanolamine (MEA) as its solvent. Produces 200 tons/day CO2 that is used for food-grade applications.,01/01/1991,,US Dollar,https://www.globalccsinstitute.com/projects/aes-shady-point-warrior-run-co2-recovery-plants 
AES Warrior Run,AES Corporation,Warrior Run Power Plant,Capture,Active,Existing,Plant in Operation,United States,Maryland,"Cumberland, Maryland",180,Megawatt,Post-Combustion,Ethanol-Amino Solvent,96,% Reduction,This plant captures around 96% of its CO2 emissions and then sells this captured CO2 to companies to use in fire extinguishers and dry ice.,02/01/2000,,US Dollar,http://energywv.org/assets/files/Energy-Summit-Presentations/2014/08_Peter_Bajc.pdf
Air Products and Chemicals Inc. CCS Project,Air Products and Chemicals,Valero Port Arthur Refinery's Methane Steam Reformer Waste Streams,Capture and Storage,Completed,Existing,Capture Ongoing,United States,Texas,Port Arthur,,,Industrial,Vacuum Swing Absorption,2739.99990895391,Metric Tons Per Day,"DOE project was completed on September 30, 2017, and operations continue.",11/16/2009,430648802,US Dollar,http://www.netl.doe.gov/research/coal/project-information/FE0002381
Alberta Carbon Trunk Line,Enhance Energy,North West Upgrading Inc. and Agrium Inc,Capture and Storage,Active,Existing,Developing Infrastructure,Canada,Alberta,South-Central Alberta,,,,,40003.998670727,Metric Tons Per Day,The Alberta Carbon Trunk Line (ACTL) is capable of gathering CO2 from several sources and transporting the CO2 to existing mature oil fields for EOR. The total pipeline distance is about 150 miles.,01/01/2012,600000000,US Dollar,https://canada.constructconnect.com/dcn/news/Resource/2016/11/Worlds-biggest-CO2-pipeline-set-to-begin-final-phase-1020064W
Alberta Saline Aquifer Project & Genesee Demonstration Project,EPCOR,Proposed New Facility,Capture,Hold,Planned,Planning,Canada,Alberta,West of Edmonton,150,Megawatt,Pre-Combustion,Amines,2739.99990895391,Metric Tons Per Day,"The Alberta Saline Aquifer Project will identify deep saline aquifers in Alberta for use in a carbon sequestration pilot project. Ph II will construct/operate a demo pilot (3,300 metric tons/day) plant at Genesee power plant. CO2 to be stored in saline.",,2240000000,US Dollar,http://www.zeroco2.no/projects/alberta-saline-aquifer-project-asap-genesee-post-combustion-demonstration-plant
Allison Unit CO2-ECBM Pilot,Burlington Resources,Natural Source from Cortez Area of New Mexico,Storage,Completed,,Injection Complete,United States,New Mexico,San Juan County,,,,,400,Metric Tons Per Day,This project involves CO2 injection into the Allison Unit of the San Juan Basin. CO2 was used to enhance coalbed methane recovery.,10/01/2000,,US Dollar,https://www.adv-res.com/pdf/The%20Allison%20Unit%20CO2-ECBM%20Pilot%20-%20A%20Reservoir%20and%20Economic%20Analysis%20-%20Paper%200522.pdf
Altmark Sequestration,Vattenfall,Vattenfall's CO2 Test Facility,Storage,Hold,In Development,Developing Infrastructure,Germany,,"Salzwedel, Germany",1000,Megawatt,,,100000,Metric Tons Total,"The project is an EGR project to be performed in Europe's second-largest natural gas field - the Altmark gas field. The program plans to control old wells, along with advancement of monitoring techniques, process modelling, and risk assessment.",01/01/2015,96000000,US Dollar,https://publications.lbl.gov/islandora/object/ir%3A127000
American Electric Power - Great Bend IGCC,American Electric Power,Great Bend IGCC,Capture,Hold,Planned,Plant Design,United States,Ohio,Meigs County,629,Megawatt,Pre-Combustion,,,,"The project was to build a new American Electric Power clean coal power plant in Meigs County, Ohio, but the project is on hold.",01/01/2009,1100000000,US Dollar,http://gallipolis.uber.matchbin.net/printer_friendly/1913848
American Electric Power - Mountaineer,American Electric Power,Mountaineer ,Capture and Storage,Terminated,Existing,,United States,West Virginia,New Haven,30,Megawatt,Post-Combustion,Alstom Chilled Ammonia Process,15000,Metric Tons Total,Phase I: Start 2009 - Scheduled to operate for 18 months (up to 5 years). Phase II: 2015 - Phase II has been cancelled due to unknown climate policy.,01/01/2009,668000000,US Dollar,https://sequestration.mit.edu/tools/projects/aep_alstom_mountaineer.html
